商品编码,商品,批发价,订单量,金额
"130108	","钻石(硬红)	","71.000000	","1	","71.00	"
"310102	","中华(软)	","583.000000	","1.000000	","583.00	"
"310104	","牡丹(软)	","114.500000	","2.000000	","229.00	"
"310144	","红双喜(硬上海)	","93.280000	","1.000000	","93.28	"
"330149	","利群(夜西湖)	","158.000000	","1.000000	","158.00	"
"350103	","七匹狼(红)	","132.500000	","1.000000	","132.50	"
"410229	","红旗渠(新版银河)	","44.500000	","1.000000	","44.50	"
"420185	","黄鹤楼(硬奇景)	","238.500000	","1.000000	","238.50	"
"430201	","芙蓉王(硬)	","218.360000	","6.000000	","1310.16	"
"430219	","芙蓉王(蓝)	","307.400000	","1.000000	","307.40	"
"430241	","芙蓉王(硬闪带细支)	","300.000000	","1.000000	","300.00	"
"440203	","双喜(硬)	","80.000000	","2.000000	","160.00	"
"440204	","双喜(软)	","75.000000	","2.000000	","150.00	"
"440234	","双喜(软经典)	","97.000000	","3.000000	","291.00	"
"440237	","双喜(硬经典)	","100.170000	","3.000000	","300.51	"
"440239	","双喜(硬世纪经典)	","201.400000	","1.000000	","201.40	"
"440242	","双喜(硬经典1906)	","150.520000	","3.000000	","451.56	"
"440266	","双喜(软经典1906)	","143.100000	","1.000000	","143.10	"
"440269	","双喜(金01)	","129.300000	","1.000000	","129.30	"
"440272	","双喜(硬金五叶神)	","114.500000	","2.000000	","229.00	"
"440273	","双喜(软蓝红玫王)	","114.500000	","1.000000	","114.50	"
"440274	","双喜(硬红五叶神)	","184.440000	","1.000000	","184.44	"
"450320	","真龙(凌云)	","121.900000	","1.000000	","121.90	"
"470151	","双喜(硬晶彩好日子)	","158.000000	","1.000000	","158.00	"
"510144	","娇子(红格调)	","88.000000	","2.000000	","176.00	"
"510148	","娇子(宽窄好运细支)	","225.000000	","1.000000	","225.00	"
"520123	","黄果树(长征)	","47.700000	","1.000000	","47.70	"
"530133	","云烟(紫)	","87.980000	","1.000000	","87.98	"
"530208	","红梅(软黄)	","38.160000	","1.000000	","38.16	"
"530232	","玉溪(软)	","201.400000	","2.000000	","402.80	"
"530246	","红塔山(硬经典100)	","87.980000	","1.000000	","87.98	"
"610122	","好猫(细支长乐)	","139.920000	","1.000000	","139.92	"
,,,49,
